,fwy,dir,link,from_node,to_node,geometry,vds,Cluster_Labels,geometry_station
121,I105,W,120291877_0,384342378,1349128517,"LINESTRING (1982492.219067367 546176.4620472294, 1982452.041460483 546193.3649949188)",716450,10,POINT (1982072.1686215552 546389.5159768814)
122,I105,W,120291879_0,1349128517,384342938,"LINESTRING (1982452.041460483 546193.3649949188, 1982385.0423051363 546223.2637482177)",716450,10,POINT (1982072.1686215552 546389.5159768814)
123,I105,W,120291879_1,384342938,384342461,"LINESTRING (1982385.0423051363 546223.2637482177, 1982092.3319223458 546372.1396723759)",716450,10,POINT (1982072.1686215552 546389.5159768814)
124,I105,W,33617140_0,384342461,626489383,"LINESTRING (1982092.3319223458 546372.1396723759, 1982032.0278436397 546405.4667220113)",716450,10,POINT (1982072.1686215552 546389.5159768814)
125,I105,W,49331103_0,626489383,626489386,"LINESTRING (1982032.0278436397 546405.4667220113, 1982006.8070892703 546418.4714435819)",716448,1,POINT (1981373.782940808 546755.6076385044)
126,I105,W,49331104_0,626489386,4012986455,"LINESTRING (1982006.8070892703 546418.4714435819, 1981810.8687428185 546522.1231322074)",716448,1,POINT (1981373.782940808 546755.6076385044)
127,I105,W,398550180_0,4012986455,924394160,"LINESTRING (1981810.8687428185 546522.1231322074, 1981686.418529639 546589.0217840312)",716448,1,POINT (1981373.782940808 546755.6076385044)
128,I105,W,79102696_0,924394160,924394436,"LINESTRING (1981686.418529639 546589.0217840312, 1981637.281833517 546614.4759728793)",716448,1,POINT (1981373.782940808 546755.6076385044)
129,I105,W,79102976_0,924394436,384261134,"LINESTRING (1981637.281833517 546614.4759728793, 1981448.3833971818 546715.3704802768)",716448,1,POINT (1981373.782940808 546755.6076385044)
130,I105,W,33616171_0,384261134,924394500,"LINESTRING (1981448.3833971818 546715.3704802768, 1981331.5008135745 546776.7791331735)",716448,1,POINT (1981373.782940808 546755.6076385044)
131,I105,W,79102934_0,924394500,924394578,"LINESTRING (1981331.5008135745 546776.7791331735, 1981301.2039086032 546793.6783090661)",760568,8,POINT (1980661.7108914854 547139.3062480844)
132,I105,W,79102754_0,924394578,386846755,"LINESTRING (1981301.2039086032 546793.6783090661, 1981126.257162043 546885.3557000977)",760568,8,POINT (1980661.7108914854 547139.3062480844)
133,I105,W,33783860_0,386846755,386846754,"LINESTRING (1981126.257162043 546885.3557000977, 1981078.5655172926 546910.5215060405)",760568,8,POINT (1980661.7108914854 547139.3062480844)
134,I105,W,33783859_0,386846754,384451875,"LINESTRING (1981078.5655172926 546910.5215060405, 1980982.7396222078 546961.0876982574)",760568,8,POINT (1980661.7108914854 547139.3062480844)
135,I105,W,862059387_0,384451875,386847560,"LINESTRING (1980982.7396222078 546961.0876982574, 1980672.388755713 547124.8750007406)",760558,1,POINT (1980373.985132902 547288.1039046549)
136,I105,W,33783921_0,386847560,384258478,"LINESTRING (1980672.388755713 547124.8750007406, 1980513.793449112 547207.7114700823)",760558,1,POINT (1980373.985132902 547288.1039046549)
137,I105,W,398571766_0,384258478,384258477,"LINESTRING (1980513.793449112 547207.7114700823, 1980369.5502802867 547285.417815417)",760558,1,POINT (1980373.985132902 547288.1039046549)
138,I105,W,33783920_0,384258477,384448114,"LINESTRING (1980369.5502802867 547285.417815417, 1980150.4063988011 547403.95082231)",760558,1,POINT (1980373.985132902 547288.1039046549)
139,I105,W,33783920_1,384448114,293918170,"LINESTRING (1980150.4063988011 547403.95082231, 1979955.6334963199 547505.7534272717)",716441,8,POINT (1979021.6689595953 547664.4282864846)
140,I105,W,33616135_0,293918170,293918191,"LINESTRING (1979955.6334963199 547505.7534272717, 1979908.8623495651 547530.3464460948)",716441,8,POINT (1979021.6689595953 547664.4282864846)
141,I105,W,26793252_0,293918191,293917535,"LINESTRING (1979908.8623495651 547530.3464460948, 1979683.057440585 547637.6682697714)",716441,8,POINT (1979021.6689595953 547664.4282864846)
142,I105,W,26793152_0,293917535,293917173,"LINESTRING (1979683.057440585 547637.6682697714, 1978761.6922540318 547580.7718934411)",716441,8,POINT (1979021.6689595953 547664.4282864846)
143,I105,W,862940856_0,293917173,273489279,"LINESTRING (1978761.6922540318 547580.7718934411, 1978615.889142606 547542.3049675676)",716437,4,POINT (1977428.1732254394 547597.0593197318)
144,I105,W,26793162_0,273489279,273489288,"LINESTRING (1978615.889142606 547542.3049675676, 1978065.4121573025 547543.4879742443)",716437,4,POINT (1977428.1732254394 547597.0593197318)
145,I105,W,25118883_0,273489288,273489299,"LINESTRING (1978065.4121573025 547543.4879742443, 1977855.6762393366 547559.8252864799)",716437,4,POINT (1977428.1732254394 547597.0593197318)
146,I105,W,25118884_0,273489299,279645408,"LINESTRING (1977855.6762393366 547559.8252864799, 1977249.8964970703 547606.1017053105)",716437,4,POINT (1977428.1732254394 547597.0593197318)
147,I105,W,25653823_0,279645408,279645478,"LINESTRING (1977249.8964970703 547606.1017053105, 1977208.88373578 547607.8771406477)",716437,4,POINT (1977428.1732254394 547597.0593197318)
148,I105,W,25653824_0,279645478,279645487,"LINESTRING (1977208.88373578 547607.8771406477, 1976974.322199914 547601.0566526955)",716437,4,POINT (1977428.1732254394 547597.0593197318)
149,I105,W,25653820_0,279645487,279645484,"LINESTRING (1976974.322199914 547601.0566526955, 1976931.120518589 547596.3718598188)",760512,4,POINT (1976303.190668515 547500.2496461874)
